"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.0016623,0.0017455,0.020017,0.0055288,0.0076638,0.0050028,0,0,0.16059,-0.027755,0,0.13007,0,0,0,0.021793,0.0037526,0.0076638,17.413,0.01107,0.016475,2.1126e-07,0,0,0
0.0032119,0.0033236,0.018179,0.0033609,0.0064619,0.0037495,0,0,0.15232,-0.040313,0,0.097486,0,0,0,0.019291,0.0022482,0.0064619,13.242,0.0093339,0.015403,1.5995e-07,0.02,0,0
0.0060928,0.0062246,0.015147,0.00090729,0.0048162,0.0019444,0,0,0.1343,-0.050816,0,0.050556,0,0,0,0.015455,0.0005987,0.0048162,7.4515,0.0069568,0.013261,8.567e-08,0.04,0,0
0.0085838,0.0087207,0.013088,0.00043126,0.0040557,0.0011594,0,0,0.11742,-0.047118,0,0.030145,0,0,0,0.013213,0.00030632,0.0040557,5.0861,0.0058583,0.0115,5.2413e-08,0.06,0,0
0.010789,0.010963,0.011648,0.00017723,0.0035477,0.0008021,0,0,0.10531,-0.043816,0,0.020854,0,0,0,0.011713,0.00011213,0.0035477,3.9138,0.0051244,0.010322,3.6702e-08,0.08,0,0
0.012796,0.013022,0.010641,8.0845e-05,0.0032165,0.00060689,0,0,0.096516,-0.040763,0,0.015779,0,0,0,0.010681,4.0463e-05,0.0032165,3.2336,0.004646,0.0094614,2.7879e-08,0.1,0,0
0.01465,0.014944,0.0098593,3.1232e-05,0.0029671,0.000491,0,0,0.089597,-0.038167,0,0.012766,0,0,0,0.0098875,2.944e-06,0.0029671,2.8198,0.0042859,0.008786,2.2143e-08,0.12,0,0
0.01638,0.016752,0.0092167,4.1845e-06,0.0027663,0.0004169,0,0,0.083855,-0.035907,0,0.010839,0,0,0,0.0092384,-1.7511e-05,0.0027663,2.559,0.0039957,0.0082253,1.8079e-08,0.14,0,0
0.018004,0.018462,0.008663,-1.2249e-05,0.0025952,0.0003672,0,0,0.078881,-0.033897,0,0.0095473,0,0,0,0.0086809,-3.0081e-05,0.0025952,2.3962,0.0037487,0.0077398,1.5014e-08,0.16,0,0
0.019535,0.020084,0.0081695,-2.285e-05,0.002444,0.0003325,0,0,0.074432,-0.032069,0,0.0086451,0,0,0,0.008185,-3.83e-05,0.002444,2.2989,0.0035302,0.0073056,1.2597e-08,0.18,0,0
0.020982,0.021624,0.0077184,-2.9969e-05,0.0023065,0.00030714,0,0,0.070355,-0.030375,0,0.0079857,0,0,0,0.0077324,-4.3879e-05,0.0023065,2.2455,0.0033317,0.0069078,1.0632e-08,0.2,0,0
0.022349,0.023085,0.0072991,-3.4746e-05,0.0021793,0.00028735,0,0,0.066557,-0.028783,0,0.007471,0,0,0,0.0073119,-4.7584e-05,0.0021793,2.2189,0.0031479,0.006537,9e-09,0.22,0,0
0.023644,0.024465,0.0069055,-3.7736e-05,0.0020603,0.00027036,0,0,0.062988,-0.027275,0,0.0070292,0,0,0,0.0069175,-4.9716e-05,0.0020603,2.2039,0.0029761,0.0061882,7.6291e-09,0.24,0,0
0.024869,0.025766,0.0065355,-3.918e-05,0.0019489,0.00025401,0,0,0.059626,-0.025845,0,0.0066043,0,0,0,0.0065466,-5.0327e-05,0.0019489,2.1848,0.0028151,0.005859,6.473e-09,0.26,0,0
0.026029,0.026982,0.0061894,-3.916e-05,0.0018451,0.00023655,0,0,0.056476,-0.024495,0,0.0061504,0,0,0,0.0061996,-4.9351e-05,0.0018451,2.1454,0.0026651,0.0055498,5.5016e-09,0.28,0,0
0.027128,0.028111,0.0058701,-3.7694e-05,0.0017497,0.00021657,0,0,0.053565,-0.023236,0,0.0056308,0,0,0,0.0058791,-4.6698e-05,0.0017497,2.0682,0.0025274,0.0052629,4.6936e-09,0.3,0,0
0.028171,0.02915,0.0055822,-3.4808e-05,0.0016642,0.00019301,0,0,0.050934,-0.022087,0,0.0050181,0,0,0,0.0055898,-4.2349e-05,0.0016642,1.9361,0.0024039,0.0050022,4.0333e-09,0.32,0,0
0.029165,0.030093,0.0053314,-3.059e-05,0.0015903,0.00016527,0,0,0.048635,-0.021071,0,0.004297,0,0,0,0.0053373,-3.6426e-05,0.0015903,1.7345,0.002297,0.0047731,3.5077e-09,0.34,0,0
0.030117,0.030939,0.005124,-2.524e-05,0.0015296,0.00013333,0,0,0.046727,-0.020213,0,0.0034667,0,0,0,0.0051281,-2.927e-05,0.0015296,1.4557,0.0022095,0.0045814,3.1054e-09,0.36,0,0
0.031034,0.031688,0.0049657,-1.9125e-05,0.001484,9.7883e-05,0,0,0.045262,-0.01954,0,0.002545,0,0,0,0.004968,-2.1473e-05,0.001484,1.1031,0.0021435,0.0044329,2.8161e-09,0.38,0,0
0.031927,0.032342,0.0048604,-1.2828e-05,0.0014543,6.0434e-05,0,0,0.044279,-0.019072,0,0.0015713,0,0,0,0.0048614,-1.3872e-05,0.0014543,0.6963,0.0021006,0.0043321,2.6306e-09,0.4,0,0
0.032806,0.032908,0.0048093,-7.1249e-06,0.0014406,2.3418e-05,0,0,0.043792,-0.018821,0,0.00060888,0,0,0,0.0048096,-7.428e-06,0.0014406,0.2722,0.0020809,0.0042808,2.5396e-09,0.42,0,0
0.033679,0.033397,0.0048092,-2.8284e-06,0.0014419,-9.9318e-06,0,0,0.043775,-0.018782,0,-0.00025823,0,0,0,0.0048093,-2.9598e-06,0.0014419,-0.11865,0.0020828,0.0042771,2.533e-09,0.44,0,0
0.034557,0.033825,0.0048521,-4.4064e-07,0.0014555,-3.5984e-05,0,0,0.044156,-0.018927,0,-0.0009356,0,0,0,0.0048525,-7.7001e-07,0.0014555,-0.42263,0.0021024,0.0043136,2.5977e-09,0.46,0,0
0.035445,0.034213,0.0049249,2.3325e-07,0.0014775,-5.1472e-05,0,0,0.044816,-0.019205,0,-0.0013383,0,0,0,0.0049255,-3.4765e-07,0.0014775,-0.59724,0.0021342,0.0043782,2.715e-09,0.48,0,0
0.036349,0.034583,0.0050109,1.8608e-07,0.0015033,-5.4425e-05,0,0,0.045598,-0.019541,0,-0.0014151,0,0,0,0.0050115,-4.4883e-07,0.0015033,-0.62299,0.0021715,0.0044547,2.8594e-09,0.5,0,0
