"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.017617,0.0019574,0.0019574,0.0029605,0,0,0.17225,-3.4694e-18,0,0.065132,0,0,0,0.018158,0.0014164,0.0019574,10.356,0.0071771,0.016477,2.2893e-07,0,0,0
0.003445,0.0013026,0.015824,0.00042682,0.0016251,0.0010602,0,0,0.15619,-0.013181,0,0.023325,0,0,0,0.015897,0.00035415,0.0016251,3.9206,0.0059587,0.014948,1.6736e-07,0.02,0,0
0.0062476,0.002578,0.013444,0.00018691,0.001363,0.00058613,0,0,0.13289,-0.012937,0,0.012895,0,0,0,0.013469,0.00016104,0.001363,2.5267,0.0049978,0.01275,1.0327e-07,0.04,0,0
0.0087604,0.0038639,0.012231,7.7775e-05,0.0012309,0.00041834,0,0,0.121,-0.012684,0,0.0092035,0,0,0,0.012245,6.3392e-05,0.0012309,1.9691,0.0045132,0.011642,7.8305e-08,0.06,0,0
0.011088,0.0051518,0.011401,4.573e-05,0.0011447,0.00032682,0,0,0.11282,-0.012088,0,0.0071902,0,0,0,0.01141,3.6331e-05,0.0011447,1.6473,0.0041971,0.010862,6.3522e-08,0.08,0,0
0.013273,0.0064461,0.010743,2.8349e-05,0.0010771,0.00027546,0,0,0.10632,-0.011536,0,0.0060602,0,0,0,0.01075,2.1272e-05,0.0010771,1.4718,0.0039493,0.010241,5.3196e-08,0.1,0,0
0.01534,0.0077462,0.010181,1.8555e-05,0.0010199,0.00024301,0,0,0.10077,-0.011015,0,0.0053463,0,0,0,0.010186,1.2747e-05,0.0010199,1.3691,0.0037397,0.0097093,4.5309e-08,0.12,0,0
0.017304,0.0090507,0.0096784,1.2074e-05,0.00096904,0.00022179,0,0,0.095803,-0.010527,0,0.0048794,0,0,0,0.0096835,6.9876e-06,0.00096904,1.3137,0.0035532,0.0092331,3.8951e-08,0.14,0,0
0.019173,0.010358,0.0092146,7.4476e-06,0.00092221,0.00020761,0,0,0.091216,-0.010062,0,0.0045675,0,0,0,0.0092193,2.7684e-06,0.00092221,1.2911,0.0033814,0.0087929,3.3632e-08,0.16,0,0
0.020953,0.011664,0.0087759,3.9112e-06,0.00087798,0.00019809,0,0,0.086877,-0.0096148,0,0.004358,0,0,0,0.0087804,-5.5982e-07,0.00087798,1.293,0.0032193,0.0083763,2.9067e-08,0.18,0,0
0.022648,0.012966,0.0083535,1.0832e-06,0.00083546,0.00019164,0,0,0.082699,-0.0091782,0,0.0042162,0,0,0,0.0083579,-3.3117e-06,0.00083546,1.3137,0.0030634,0.007975,2.5081e-08,0.2,0,0
0.024261,0.01426,0.0079419,-1.2354e-06,0.00079407,0.00018712,0,0,0.078627,-0.0087484,0,0.0041167,0,0,0,0.0079463,-5.641e-06,0.00079407,1.3487,0.0029116,0.0075838,2.1564e-08,0.22,0,0
0.025793,0.015542,0.0075379,-3.1381e-06,0.00075348,0.00018358,0,0,0.074629,-0.0083228,0,0.0040388,0,0,0,0.0075424,-7.6047e-06,0.00075348,1.3937,0.0027628,0.0071997,1.8447e-08,0.24,0,0
0.027246,0.016805,0.0071404,-4.6557e-06,0.00071357,0.00018021,0,0,0.070695,-0.0079005,0,0.0039647,0,0,0,0.0071449,-9.1982e-06,0.00071357,1.4439,0.0026164,0.0068215,1.5687e-08,0.26,0,0
0.028621,0.018045,0.00675,-5.7819e-06,0.00067442,0.00017626,0,0,0.066832,-0.0074823,0,0.0038777,0,0,0,0.0067546,-1.0378e-05,0.00067442,1.4935,0.0024729,0.0064499,1.3259e-08,0.28,0,0
0.029919,0.019253,0.0063694,-6.4916e-06,0.00063629,0.00017104,0,0,0.063064,-0.0070706,0,0.0037629,0,0,0,0.006374,-1.1077e-05,0.00063629,1.5356,0.0023331,0.0060872,1.1144e-08,0.3,0,0
