"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.01249,0.013117,0.15038,0.0416,0.057593,0.037689,0,0,1.2062,-0.20791,0,0.97992,0,0,0,0.16375,0.028231,0.057593,17.413,0.08319,0.12375,8.8592e-05,0,0,0
0.024124,0.024685,0.13653,0.025225,0.048527,0.028196,0,0,1.1441,-0.30292,0,0.73309,0,0,0,0.14489,0.016865,0.048527,13.202,0.070094,0.1157,6.7133e-05,0.02,0,0
0.045762,0.045333,0.11385,0.0065421,0.036118,0.014372,0,0,1.0105,-0.38449,0,0.37367,0,0,0,0.1161,0.0042907,0.036118,7.2598,0.052171,0.099785,3.6227e-05,0.04,0,0
0.064546,0.061843,0.098876,0.0027344,0.030483,0.0082011,0,0,0.88911,-0.36073,0,0.21323,0,0,0,0.099703,0.0019072,0.030483,4.7042,0.044031,0.087104,2.2642e-05,0.06,0,0
0.081327,0.075442,0.088858,0.0007213,0.026874,0.0054053,0,0,0.8058,-0.33998,0,0.14054,0,0,0,0.089244,0.00033613,0.026874,3.4098,0.038818,0.079057,1.6377e-05,0.08,0,0
0.096777,0.086759,0.082172,-5.3307e-05,0.024636,0.0039232,0,0,0.74798,-0.32096,0,0.102,0,0,0,0.082388,-0.00026899,0.024636,2.666,0.035585,0.073446,1.2936e-05,0.1,0,0
0.11125,0.096168,0.077168,-0.00044628,0.023017,0.0030797,0,0,0.70397,-0.30502,0,0.080072,0,0,0,0.077308,-0.0005857,0.023017,2.2233,0.033246,0.069183,1.0719e-05,0.12,0,0
0.12494,0.10387,0.073164,-0.00064139,0.021757,0.0025491,0,0,0.66829,-0.29118,0,0.066277,0,0,0,0.073264,-0.00074116,0.021757,1.9375,0.031426,0.065713,9.1431e-06,0.14,0,0
0.13798,0.10994,0.069824,-0.00071636,0.020732,0.0021565,0,0,0.63819,-0.27883,0,0.056068,0,0,0,0.069898,-0.00079089,0.020732,1.7148,0.029947,0.062761,7.9515e-06,0.16,0,0
0.15046,0.1144,0.067042,-0.00069131,0.019905,0.0017839,0,0,0.61278,-0.26776,0,0.046382,0,0,0,0.067096,-0.00074488,0.019905,1.4756,0.028752,0.060234,7.0332e-06,0.18,0,0
0.16249,0.1172,0.06486,-0.00058372,0.019283,0.001352,0,0,0.5925,-0.25827,0,0.035153,0,0,0,0.064893,-0.00061688,0.019283,1.1551,0.027853,0.058174,6.3505e-06,0.2,0,0
0.17416,0.11831,0.063386,-0.00044541,0.018882,0.00083628,0,0,0.57855,-0.25126,0,0.021743,0,0,0,0.063401,-0.0004606,0.018882,0.73055,0.027274,0.056723,5.9007e-06,0.22,0,0
